Path,Size,Size (bytes),Modified
/media/Downloads/qbittorrent/complete/radarr/Forrest Gump (1994) (2160p iT WEB-DL Hybrid H265 DV HDR10+ DDP Atmos 5.1 English - HONE) [REPACK].mkv,24.99 GiB,26828998556,2026-06-14T12:52:00.151973043-07:00
/media/Downloads/qbittorrent/complete/cross-seed/DarkPeers/28.Years.Later.2025.UHD.BluRay.2160p.DDP.Atmos.5.1.DV.HDR.x265-hallowed.mkv--fda55474/28.Years.Later.2025.UHD.BluRay.2160p.DDP.Atmos.5.1.DV.HDR.x265-hallowed.mkv,15.35 GiB,16479815712,2025-09-19T08:26:57.756355311-07:00
/media/Downloads/qbittorrent/complete/cross-seed/Seedpool/28.Years.Later.2025.UHD.BluRay.2160p.DDP.Atmos.5.1.DV.HDR.x265-hallowed.mkv--112d5661/28.Years.Later.2025.UHD.BluRay.2160p.DDP.Atmos.5.1.DV.HDR.x265-hallowed.mkv,15.35 GiB,16479815712,2025-09-19T08:26:57.756355311-07:00
/media/Downloads/qbittorrent/complete/cross-seed/Seedpool/The.Secret.Life.of.Bees.2008.1080p.DSNP.WEB-DL.DDP5.1.H.264-GPRS.mkv--76de625b/The.Secret.Life.of.Bees.2008.1080p.DSNP.WEB-DL.DDP5.1.H.264-GPRS.mkv,6.71 GiB,7206558565,2026-06-14T08:49:00.274426706-07:00
/media/Downloads/qbittorrent/complete/radarr/The.Secret.Life.of.Bees.2008.1080p.DSNP.WEB-DL.DDP5.1.H.264-GPRS.mkv,6.71 GiB,7206558565,2026-06-14T08:49:00.274426706-07:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E06.Don't.Look.Down.on.My.Guys.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.62 GiB,7109649919,2026-03-22T09:59:13.715665993-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E06.Don't.Look.Down.on.My.Guys.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.62 GiB,7109649919,2026-03-22T09:59:13.715665993-07:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E12.Are.You.the.King.of.Humans.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.62 GiB,7109476078,2026-03-22T10:11:19.972285749-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E12.Are.You.the.King.of.Humans.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.62 GiB,7109476078,2026-03-22T10:11:19.972285749-07:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/Solo.Leveling.S02.BluRay.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR/Solo.Leveling.S02E02.I.Suppose.You.Aren't.Aware.1080p.FLAC.2.0.AVC.HYBRID.REMUX-FraMeSToR.mkv,6.62 GiB,7103422385,2026-03-22T09:51:27.597831567-07:00
